127.0.0.1 - - [14/Apr/2021:21:06:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Apr/2021:21:06:18 +0900] "GET /exam01/index5.jsp HTTP/1.1" 200 1358
0:0:0:0:0:0:0:1 - - [14/Apr/2021:21:06:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Apr/2021:21:06:36 +0900] "GET /exam01/index5.jsp HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [14/Apr/2021:21:06:51 +0900] "GET /exam01/index5.jsp HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [14/Apr/2021:21:06:52 +0900] "GET /exam01/index5.jsp HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [14/Apr/2021:21:06:53 +0900] "GET /exam01/index5.jsp HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [14/Apr/2021:21:06:53 +0900] "GET /exam01/index5.jsp HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [14/Apr/2021:21:06:53 +0900] "GET /exam01/index5.jsp HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [14/Apr/2021:21:06:53 +0900] "GET /exam01/index5.jsp HTTP/1.1" 200 1380
0:0:0:0:0:0:0:1 - - [14/Apr/2021:21:07:12 +0900] "GET /exam01/index5.jsp HTTP/1.1" 200 1403
